name,ein,street,city,state,zip
NORTH CAROLINA RESPONSIBLE ANIMAL OWNERS ALLIANCE,202051533,PO BOX 265,STEM,NC,27581-0265
STRAY FERAL CAT RESCUE ASSOCIATES OF MINNESOTA,202100559,17567 305TH LN,SHAFER,MN,55074-2226
AFGHAN STRAY ANIMAL LEAGUE,202119782,6050 COLCHESTER RD,FAIRFAX,VA,22030-5902
BRIARD CLUB OF AMERICA RESCUE TRUST,202153480,1930 20TH AVENUE DR NE APT 38,HICKORY,NC,28601-0512
HOUSE OF PUDDLES INC,202159159,4422 REELS MILL RD,FREDERICK,MD,21704-7758
SOUTHERN SHIH TZU RESCUE,202202897,1205,CROWN POINT,IN,46307-0000
HUMANITIES INC,202205053,PO BOX 1171,GROVER,NC,28073-1171
PETFIX NORTHEAST OHIO INC,202205609,885 E 222ND ST,CLEVELAND,OH,44123-3313
ANIMAL WELFARE FOSTER PROGRAM,202205921,PO BOX 10854,BLACKSBURG,VA,24062-0854
NORTH MECKLENBURG ANIMAL RESCUE INC,202212629,517 HARRIS ST NW,CONCORD,NC,28025-4458
POLISH TATRA WORKING DOG ASSOCIATION,202227557,7434 W 61ST PL,SUMMIT,IL,60501-1620
IRIDIAN GENOMES INC,202236522,613 QUAINT ACRES DR,SILVER SPRING,MD,20904-2723
JACKS PLACE INC,202244958,PO BOX 5,WHITE PLAINS,KY,42464-0005
OHIO PET FUND,202289216,2280 HENDERSON RD STE 207,COLUMBUS,OH,43220-2373
4 PAWS 4 U 4 EVER,202318215,29W150 ROOSEVELT RD,WEST CHICAGO,IL,60185-3937
DELAWARE PUPPY RESCUE,202323245,22 RADENCE LN,WEST GROVE,PA,19390-9776
HAPPE INC,202326892,PO BOX 17712,RICHMOND,VA,23226-7712
REFUGE FARMS INC,202332234,PO BOX 195,SPRING VALLEY,WI,54767-0195
AMERICAN CAVALIER KING CHARLES SPANIEL RESCUE TR,202338232,6000 HIGH BLUFF CT,RALEIGH,NC,27612-1811
CARY KENNEL CLUB,202361142,2001 PHELPS WEST RD,FUQUAY VARINA,NC,27526-7939
HAPPY TAILS RESCUE FOUNDATION,202388312,12248 87TH AVE N,MAPLE GROVE,MN,55369-3018
WBFI RESEARCH FOUNDATION,202420919,PO BOX 939,BRITTON,SD,57430-0939
FRIENDS OF WINDOM WETLAND DISTRICT INC,202422091,42950 500TH AVE,WINDOM,MN,56101-3023
COMMON COAST RESEARCH & CONSERVATION,202424675,PO BOX 201,ESCANABA,MI,49829-0201
ILLINOIS SHORTHAIR RESCUE,202465920,PO BOX 341,GURNEE,IL,60031-0341
IOWA PINTO HORSE CLUB,202466153,6289 GEAR ST,PROLE,IA,50229-9180
YOUNG AT HEART PET RESCUE INC,202476194,4301 S IL ROUTE 47,WOODSTOCK,IL,60098-7519
WAUPUN AREA ANIMAL SHELTER LTD,202478910,901A N MADISON ST,WAUPUN,WI,53963-1173
SAVE ECUADORS ANIMALS,202495690,523 WILKES ST,ALEXANDRIA,VA,22314-3723
OHIO FUZZY PAWZ SHIH TZU RESCUE,202523216,426 RIVA RIDGE RD SW,PATASKALA,OH,43062-9158
FLUFFYBUTTS RESCUE RESORT INCORPORATED,202523242,3131 115TH ST,RIVERSIDE,IA,52327-9692
S O S ANIMAL RESCUE,202524824,409 DESKINS DR,WILLIAMSON,WV,25661-9189
SAVE OHIO STRAYS,202549010,PO BOX 16,WADSWORTH,OH,44282-0016
COLLIE RESCUE OF INDIANA,202566936,1763 W 300 S,WINCHESTER,IN,47394-8278
FROM HEAVEN TO EARTH ANIMAL RESCUE INC,202574444,3616 WILLIAMS LAKE RD SW,NEW PHILA,OH,44663-6978
PHOENIX RESCUE GROUP,202578639,1 WAGNER DR,CARLISLE,PA,17013-8199
CLIMATE VOICES US,202645610,PO BOX 2453,BOONE,NC,28607-0697
SAFE CAT NETWORK INC,202695521,PO BOX 24,VIRGINVILLE,PA,19564-0024
RAINBOW ANIMAL RESCUE INC,202702412,7701 HALPRIN DR,NORFOLK,VA,23518-4406
OPERATION SPAY NEUTER INC,202717185,PO BOX 1604,BUTLER,PA,16003-1604
DANISH SWEDISH FARMDOG CLUB OF AMERICA INC,202719399,203 ASHTON ST,GILBERT,IA,50105-1014
MANASSAS THERAPY DOGS,202724225,13294 ROBLING CT,MANASSAS,VA,20112-3681
OHIO ROTTWEILER RESCUE INC,202727771,2135 ST RT 61,SUNBURY,OH,43074-0000
ALMOST HOME CANINE RESCUE,202753604,PO BOX 90707,SIOUX FALLS,SD,57109-0707
FRIENDS OF HOMELESS FELINES,202820412,702 LOUCKS AVE,SCOTTDALE,PA,15683-1526
NORTHWEST DOG TRAINING CLUB INC,202835383,110 W WOODSTOCK ST STE E,CRYSTAL LAKE,IL,60014-4239
WISCONSIN GERMAN SHORTHAIRED POINTER RESCUE INC,202852869,PO BOX 112,COTTAGE GROVE,WI,53527-0112
INDRALOKA ANIMAL SANCTUARY,202855094,333 OAK DR,DALTON,PA,18414-7881
SAVE THE GOLDEN LION TAMARIN,202874701,303 CAVALIER CT,SILVER SPRING,MD,20901-1620
CHAMPAIGN AREA TRAP SPAY NEUTER AND ADOPTION PROGRAM - CATSNAP,202876609,1713 S STATE ST STE 104,CHAMPAIGN,IL,61820-7265
IN DEM WALD WILDLIFE CENTER INC,202877918,PO BOX 476,NEW GLARUS,WI,53574-0476
GREAT DANE RESCUE OF THE COMMONWEALTH,202880407,921 DEEP CREEK BLVD,CHESAPEAKE,VA,23323-2303
WILSON ANIMAL RESCUE INC,202885227,PO BOX 15562,COVINGTON,KY,41015-0562
COMPANION ANIMAL CLINIC OF THE SANDHILLS FOUNDATION,202886984,PO BOX 148,SOUTHERN PNES,NC,28388-0148
SAFE HARBOR ANIMAL RESCUE INC,202909533,15901 DARROW RD,VERMILION,OH,44089-9614
SHADOW CAT ADVOCATES INC,202912840,9901 HIDDEN CREEK LN,SPOTSYLVANIA,VA,22551-5551
AMOS ADVENTURE LIMITED,202925055,588 MILES RD,GILBERTSVILLE,PA,19525-9627
HOLDREGE ANIMAL SHELTER INC,202925971,417 EAST AVE,HOLDREGE,NE,68949-2216
PURR-FECT HAVEN CAT RESCUE,202937376,123 PINE VALLEY RD,DOVER,DE,19904-7108
LABORATORY ANMAL MANAGEMENT ASSOCIATION FOUNDATION,202954660,601 CARLSON PKWY STE 450,MINNETONKA,MN,55305-5222
COMMUNITY PARTNERSHIP FOR PETS INC,202972350,112 FOUNDERS DR,FLAT ROCK,NC,28731-9568
RIVER BEND HUMANE SOCIETY NFP,202976364,23402 CRYSTAL LAKE RD,JERSEYVILLE,IL,62052-6752
CARL W NELSON ANIMAL SHELTER INC,202980252,PO BOX 345,MAUSTON,WI,53948-0345
LOVE REINS,202980267,8066 WIGGINS MILL RD,LUCAMA,NC,27851-9462
IOWA PARROT RESCUE,202980643,2479 GOLDEN AVE,LETTS,IA,52754-9504
ANGELS PAWS,202987301,7308 28TH AVE,KENOSHA,WI,53143-5224
ALL ABOUT ANIMALS RESCUE,203006686,23451 PINEWOOD ST,WARREN,MI,48091-4758
ANIMAL RELIEF FUND INC,203012035,PO BOX 999,PITTSBORO,NC,27312-0999
A PLACE TO CALL HOME PARROTS RESCUE NFP,203012371,3418 E EVERTON RD,CONNERSVILLE,IN,47331-9473
DIAMOND ROCK WILDLIFE REHABILITATION CLINIC INC,203045880,2030 DIAMOND ROCK HILL RD,MALVERN,PA,19355-9529
GREATER CHICAGO CAVALIER RESCUE,203051396,PO BOX 1421,AURORA,IL,60507-1421
VIRGINIA PAINT HORSE CLUB INC,203081168,PO BOX 5,DREWRYVILLE,VA,23844-0005
PETS COME FIRST INC,203094906,3588 PENNS VALLEY RD,SPRING MILLS,PA,16875-8010
TRIPLE CROWN KENNEL AND STABLE,203135226,5005 PINE KNOLL RD,WILMINGTON,NC,28411-8892
QUAD CITY PAWS,203141797,4001 78TH AVE,MOLINE,IL,61265-9741
PAWS AWHILE ANIMAL SHELTER INC,203151450,105 W MAIN ST,HOPEDALE,OH,43976-9798
FORGOTTEN FRIEND INC,203155644,PO BOX 171,ELM,PA,17521-0171
TEACHERS PET - DOGS & KIDS LEARNING,203168612,3920 HUNT CLUB CT,SHELBY TWP,MI,48316-4822
FAERIE TALES CAT RESCUE,203173553,123 EASY STREET,TAYLOR,MI,48180-0000
POPEYE CLAVERT ANIMAL CANCER FOUNDATION,203184631,1776 LATHAM ST,BIRMINGHAM,MI,48009-3043
FIDOS COMPANION RESCUE INC,203191609,8139 DEER CREEK RUN,AMHERST,OH,44001-9571
CAROLINA POODLE RESCUE,203192287,6705 UNION HWY,PACOLET,SC,29372-4110
MARSH AND MEADOWS HUNTING RETRIEVER CLUB,203211933,17185 TUIL RD,BRAINERD,MN,56401-6127
PAWS TEAM TNR,203221978,5814 TEXTILE RD,SALINE,MI,48176-9793
FOCUS ON FERALS,203228587,7962 CLYDE PARK AVE SW,BYRON CENTER,MI,49315-7912
MIDWEST RABBIT RESCUE & RE-HOME,203247848,36466 HEES ST,LIVONIA,MI,48150-3587
CATS CRADLE OF THE SHENANDOAH VALLEY INC,203269224,PO BOX 2128,HARRISONBURG,VA,22801-9505
GREATER DAYTON LABRADOR RETRIEVER RESCUE AND REFERRAL GROUP INC,203298345,375 BAKER ST,BROOKVILLE,OH,45309-1801
PETROPOLIS INC,203316945,1714 N NORTH AVE,MCHENRY,IL,60050-3736
PAWS R US ANIMAL SHELTER,203341643,22794 LINCOLN RD,GRETNA,NE,68028-4315
CANINES FOR CHANGE INC,203351582,5573 N MICHIGAN RD,DIMONDALE,MI,48821-9616
HEAVEN AND EARTH ANIMAL RESCUE TEAM INC,203373818,PO BOX 897,YOUNGSVILLE,NC,27596-0897
HABITAT4HOUNDS NFP,203374056,800 ELGIN RD,EVANSTON,IL,60201-5622
ANIMAL WELFARE LEAGUE OF MONTGOMERY COUNTY INC,203382175,12 PARK AVE,GAITHERSBURG,MD,20877-2916
HARMONY RESCUE INC,203383850,5292 BROWNS MILL RD,RUSTBURG,VA,24588-2662
BLIND CAT RESCUE & SANCTUARY INC,203410498,3101 E GREAT MARSH CHURCH RD,SAINT PAULS,NC,28384-6999
LOWCOUNTRY KITTEN RESCUE INC,203456096,951 GOVERNORS CT,MT PLEASANT,SC,29464-9257
ANIMAL RESCUE FOUNDATION OF SOUTHEASTERN PENNSYLVANIA,203469938,1167 W BALTIMORE PIKE,MEDIA,PA,19063-5121
PEOPLE INSURING PARROTS SURIVAL - PIPS,203474761,2001 9TH ST,WHITE BEAR LK,MN,55110-6710
CAT TALES,203515087,3492 DARLINGTON AVE SE,DELANO,MN,55328-5214
WAGS 2 WISHES ANIMAL RESCUE INC,203521899,23907 W INDUSTRIAL DR N,PLAINFIELD,IL,60585-8513
BASSET AND BEAGLE RESCUE OF THE HEARTLAND INC,203539622,4715 S 80TH ST,OMAHA,NE,68127-2710
OPEN DOOR RESCUE OASIS CRITTERS COMPANION,203566043,4055 COUNTY ROAD J,ABRAMS,WI,54101-9657
FRIENDS OF THE SHELTER INC,203570896,5141 25TH AVE,BRANDON,IA,52210-9633
PUPELUV RESCUE INC,203571787,2279 E REID RD,GRAND BLANC,MI,48439-8579
PET RESCUE OF MARYLAND INDEPENDENT SANCTUARY AND EDUCATION INC,203572569,PO BOX 178,MONKTON,MD,21111-0178
HORSES WITH HEARTS INC,203584534,PO BOX 2186,MARTINSBURG,WV,25402-2186
ANIMAL MAGIC,203596003,46110 JUDD RD,BELLEVILLE,MI,48111-8959
COLLIE RESCUE FOUNDATION,203597183,2215 N 600 E,LEBANON,IN,46052-8984
BLACK AND ORANGE CAT FOUNDATION,203597894,PO BOX 126,PLAIN CITY,OH,43064-0126
NORTH COAST GREYHOUND CONNECTION INC,203643241,11895 ECKEL JUNCTION RD,PERRYSBURG,OH,43551-1816
BEAGLES RRRRRR US INC,203660836,2400 STATE ROUTE 56 NW,LONDON,OH,43140-8812
PAWS AND CLAWS OUTREACH,203661584,10 BIG AL CT,SWANNANOA,NC,28778-8309
CATS ANONYMOUS INC,203664624,528 S IRWIN AVE,GREEN BAY,WI,54301-3846
SPINONE CLUB OF AMERICA INC,203708158,1959 MILLERSBURG RD,WOOSTER,OH,44691-9409
GREAT LAKES GREYHOUND OF INDIANAINC,203723808,PO BOX 30,WESTVILLE,IN,46391-0030
MIDWEST SCHIPPERKE RESCUE TRUST,203725380,317 S ELBA RD,LAPEER,MI,48446-2741
SAFE HARBOR RESCUE,203725673,1144 N MAIN ST,GLENDALE HTS,IL,60139-3506
THE HUNDRED CAT FOUNDATION INC,203727384,PO BOX 10,CENTRE HALL,PA,16828-0010
CHERISHED LIFE,203767586,8481 S 600 W,PENDLETON,IN,46064-9769
NJ AID FOR ANIMALS INC,203772876,171 PERRYTOWN RD,NEW BERN,NC,28562-9025
SOUTH CAROLINA AWARENESS RESCUE AND EDUCATION FOR EQUINES,203775679,3620 CENTERVILLE RD,ANDERSON,SC,29625-6647
BETTER AWARENESS FOR RESCUE K-9SINC,203777094,10424 S MICHAEL DR,PALOS HILLS,IL,60465-1905
SARGES ANIMAL RESCUE FOUNDATION INC,203783032,PO BOX 854,WAYNESVILLE,NC,28786-0854
CATS CRADLE FELINE RESCUEINCORPORATED,203836708,6873 E KNOLLWOOD CIR,W BLOOMFIELD,MI,48322-3900
HARNESSED TO HOPE NORTHERN BREED RESCUE INC,203840638,812 ATLAS RD,NORTHAMPTON,PA,18067-9183
SAVE THE ANIMALS INC,203891268,3705 LANCASTER PIKE,WILMINGTON,DE,19805-1510
TRIPLE R PETS,203899032,PO BOX 86,WESTERN SPRGS,IL,60558-0086
RED LAKE ROSIES RESCUE INC,203917194,23880 S GOOD RD,TRAIL,MN,56684-2276
ALL FOR THE LOVE OF ANIMALS PETRESCUE INC,203933496,PO BOX 267,LONG CREEK,SC,29658-0267
CAT ANGELS PET ADOPTIONS INC,203937950,509 JAMES JACKSON AVE,CARY,NC,27513-8101
PAWSITIVELY PRECIOUS ADOPTIONS INC,203969956,4280 TEAKWOOD DR,WILLIAMSBURG,VA,23188-7879
HAPPY TAILS ANIMAL SANCTUARY,203979635,1104 S VALLEY HILL RD,WOODSTOCK,IL,60098-7853
SOUTH DAKOTA WEST RIVER SPAY-NEUTERCOALITION,204004963,PO BOX 286,DEADWOOD,SD,57732-0286
HAPPILY EVER AFTER ANIMAL SANCTUARYINC,204031006,E5714 BORK RD,MARION,WI,54950-9602
CANINE LIFESAVERS INC,204031437,259 THORNY POINT RD,STAFFORD,VA,22554-5718
SECOND TIME AROUND ANIMAL RESCUEINC,204041030,1029 EMERALD DR,SCHAUMBURG,IL,60173-2037
TROUT UNLIMITED 739 LITTLE ELKHART,204062121,509 GRA ROY DR,GOSHEN,IN,46526-4803
MEW HAVEN INC,204063536,246 W MADISON ST,SPRING GREEN,WI,53588-9211
BORDERLINE BEAGLE CLUB,204074761,E8490 VAN BUSKIRK RD,IRONWOOD,MI,49938-0000
TIBETAN SPANIEL CLUB RESCUE ANDHEALTH TRUST,204129223,190 CEDAR VALLEY LN,LOUISBURG,NC,27549-9713
REALTORS TO THE RESCUE NFP,204141876,1740 N MARSHFIELD AVE APT 14,CHICAGO,IL,60622-2490
MUTTIES,204203293,18 KIRKWOOD ST,PELLA,IA,50219-1366
SPANKYS PROJECT EDUCATION AND RESCUE FOR CANINES INC,204206019,6136 BEAVER DAM RD,NARVON,PA,17555-9418
CARING THERAPY CANINES,204228521,PO BOX 901,WOOSTER,OH,44691-0901
HUMANE SOCIETY OF BUFFALO TRACE INC,204230157,PO BOX 758,MAYSVILLE,KY,41056-0758
ALMOST HOME FELINE REFUGE INC,204243656,283 SANDPIPER DR,MT PLEASANT,SC,29464-2871
SAVING ANIMALS DURING DISASTERS,204259384,205 GEORGIA AVE,CAROLINA BCH,NC,28428-5810
WESTERN KENTUCKY RAPTOR CENTER,204277304,3731 STRIKE THE GOLD CT,OWENSBORO,KY,42303-2463
NOEL S WILDLIFE REHAB FARM INC,204305145,601 GLADSTONE RD,MOCKSVILLE,NC,27028-5237
SMALL MIRACLES CAT AND DOG RESCUE INC,204323931,10236 BALTIMORE NATIONAL PIKE,ELLICOTT CITY,MD,21042-3616
PAW-FECT MATCH RESCUE & REHABILITATION,204342710,PO BOX 171,HOLLY SPRINGS,NC,27540-0171
ALMOST HOME AZ RESCUE INC,204370444,5665 RIVERFRONT RD,LAKE WYLIE,SC,29710-7032
EMERGENCY ANIMAL RELIEF FOUNDATION,204383848,1400 S TELEGRAPH RD,BLOOMFLD HLS,MI,48302-0046
HELPING PAWS PET RESCUE INC,204390081,PO BOX 294,WASHBURN,WI,54891-0294
LABRADOR CONNECTION,204402521,PO BOX 372,WOODSTOCK,IL,60098-0372
WILDLIFE HABITAT AND MORE,204418001,45851 290TH ST,VIBORG,SD,57070-6501
ANIMAL LIFELINE,204444813,1111 EASTON RD STE 24,WARRINGTON,PA,18976-1845
MID-ATLANTIC AUSTRALIAN SHEPHERD CLUB INC,204504146,8606 HOLLOW RD,MIDDLETOWN,MD,21769-8539
POUND PALS DOWNRIVER,204530815,14341 BERKSHIRE ST,RIVERVIEW,MI,48193-7523
WISCONSIN BEAR HUNTERS FOUNDATIONINC,204539212,594 RURAL ST,BERLIN,WI,54923-9102
WISSAHICKON WATERFOWL PRESERVE,204573708,12 MORRIS RD,AMBLER,PA,19002-5499
GREEN STREET RESCUE,204575651,1917 BRANDYWINE ST,PHILADELPHIA,PA,19130-3202
FRIENDS OF THE DUPAGE COUNTY ANIMAL CARE AND CONTROL FOUNDATION,204578224,2255 MANCHESTER ROAD,WHEATON,IL,60187-0000
ANIMAL RESCUE AND VETERINARYSERVICES AND SUPPORT,204578779,826 WICKERSHAM CT,SUN PRAIRIE,WI,53590-3764
ONE OF A KIND PET RESCUE INC,204631002,1485 MARION AVE,AKRON,OH,44313-7625
A TAIL TO TELL INC,204665013,381 MICHTERS RD,NEWMANSTOWN,PA,17073-8857
MINNESOTA GREYHOUND RESCUE,204665625,9159 DALTON CT,INVER GROVE,MN,55076-3701
TAMAQUA AREA ANIMAL RESCUE,204708989,16 SCHUYLKILL AVE,TAMAQUA,PA,18252-1730
SCHIPPERKERESCUE NET INC,204715688,1317 MEADOWBROOK RD,LANCASTER,PA,17603-4759
GREAT PYRENEES RESCUE OF IOWA INC,204720175,3388 72ND ST,ATKINS,IA,52206-9766
KREITZERS CRITTER CORRAL PUPPYRESCUE,204740131,2108 GLENWOOD ST,KANNAPOLIS,NC,28083-3043
ROYCES RESCUE,204742209,73 MOHAWK DR,RICHBORO,PA,18954-1221
SAFE KITTY HARBOR,204743140,1821 BENEFIT RD,CHESAPEAKE,VA,23322-3014
MINNESOTA BOXER RESCUE,204758118,PO BOX 25773,WOODBURY,MN,55125-0773
HOLT COUNTY HUMANE SOCIETY INC,204769673,PO BOX 563,ONEILL,NE,68763-0563
MINNESOTA GAME WARDEN FOUNDATION,204790671,6915 COUNTY RD 24 NE,ELGIN,MN,55932-9310
PERFECT PAWS RESCUE INC,204792933,PO BOX 15868,FORT WAYNE,IN,46885-5868
HOPE ANIMAL RESCUES,204809712,PO BOX 397,GODFREY,IL,62035-0397
WILLOW CREEK SANCTUARY INCORPORATED,204825926,PO BOX 171,DANVILLE,KY,40423-0171
GREAT LAKES MINI SCHNAUZER RESCUEINC,204843850,15111 HIX ST,LIVONIA,MI,48154-4875
ELITE GREYHOUND ADOPTIONS INC,204871903,336 ROCKRIDGE RD,PARIS,KY,40361-9510
HEALING HEARTS ANIMAL SANCTUARY,204899321,10086 OLD BELFIELD RD,DREWRYVILLE,VA,23844-2090
ANIMAL GAMBILLS CRITTER CRUSADE INC,204912909,2536 RIDGEWOOD AVE,LOUISVILLE,KY,40217-1949
DIAMONDBACK TERRAPIN WORKING GROUP,204926293,501 NEWPORT AVE,WILLIAMSBURG,VA,23185-4012
PAWS OF HERTFORD COUNTY,204940600,PO BOX 153,MURFREESBORO,NC,27855-0153
FOR THE LOVE OF PITS,204944666,PO BOX 19292,CLEVELAND,OH,44119-0292
FRIENDS OF THE JOHNSTON COUNTYANIMAL SHELTER,204951208,1320 N BRIGHTLEAF BLVD,SMITHFIELD,NC,27577-7204
KODIS CLUB INC,204966008,230 COWPATH RD,SOUDERTON,PA,18964-2011
ARABIAN RESCUE MISSION INC,204969976,221 BLOWTOWN RD,LEITCHFIELD,KY,42754-7114
RESCUE ME INC,204970139,PO BOX 113,NEW CARLISLE,OH,45344-0113
HUMANE SOCIETY OF RICHLAND WILKIN,205003749,PO BOX 1251,WAHPETON,ND,58074-1251
AIREDALE RESCUE GROUP OF SOUTHCAROLINA,205008949,135 WESTBROOK DR,WILMINGTON,NC,28405-7501
GALGO RESCUE INTERNATIONAL NETWORK,205010150,7775 GUY RD,NASHVILLE,MI,49073-9511
CATS RULE FELINE RESCUE,205010843,PO BOX 2096,FAIRFAX,VA,22031-0096
FISHERIES FOREVER INC,205047477,395 WHISPERING CREEK CT,GREEN BAY,WI,54303-6027
PRINCE WILLIAM HUMANE SOCIETY,205062874,3511 LAKEWINDS LN,BUMPASS,VA,23024-8850
RESCUE OUR FURRY FRIENDS,205066437,120 HOSS DR,LEWISTOWN,PA,17044-8274
PATTER PETS INC,205082639,PO BOX 9594,COLUMBIA,SC,29290-0594
WILD4EVER INC,205085018,4873 RICHLAND AVE,NORTON,OH,44203-6291
DAISY STREET WAIFS & STRAYS,205100565,509 DAISY ST,GOLDSBORO,NC,27530-2832
FRIENDS OF MANS BEST FRIEND INC,205101343,PO BOX 475,SNOW HILL,NC,28580-0475
MIDLANDS HUMANE SOCIETY,205105144,1020 RAILROAD HWY,COUNCIL BLFS,IA,51503-6400
ISLAND DOG INCORPORATED,205107492,1307 STOCKETT SQ,BELCAMP,MD,21017-1101
SAVE CATS AND OBLITERATE OVERPOPULATION,205111063,10191 LEACREST RD,CINCINNATI,OH,45215-1310
PUG HUGS NFP INC,205113323,800 HANSON CT,BATAVIA,IL,60510-2848
PEACEFUL PASTURES HORSE RESCUE,205118879,1594 S COUNTY LINE RD,GENEVA,OH,44041-9321
PAWS AND EFFECT,205122966,PO BOX 861,BLACK MTN,NC,28711-0861
YOUR DOGS FRIEND INC,205148687,12221 PARKLAWN DR,ROCKVILLE,MD,20852-1711
MIDWEST PUG RESCUE - MINNESOTADIVISION,205162019,761 327TH AVE NE,CAMBRIDGE,MN,55008-6886
EQUINE RESCUE OF AIKEN,205162723,532 GLENWOOD DR,AIKEN,SC,29803-6594
ANIMAL RESCUE FOOD BANK ARF INC,205183865,1240 ALPINE RD,WELLSVILLE,PA,17365-9577
K9HAVEN RESCUE INC,205183955,907 N 11TH AVE,BROKEN BOW,NE,68822-1233
ANIMEALS OF PA,205203074,1434 ROCKY WAY,MECHANICSBURG,PA,17055-5215
HICKERSON FOUNDATION,205204030,102 E MAIN ST,ORANGE,VA,22960-1627
NEIGHBORHOOD CAT HELPERS,205209182,3320 ASHWOOD DR,CINCINNATI,OH,45213-2438
MANNIES WILDLIFE REHABILITATIONCAMP INC,205227362,9957 BROCK RD,SPOTSYLVANIA,VA,22553-3906
HEAL ANIMAL RESCUE,205240184,216 DEPOT ST,YOUNGWOOD,PA,15697-1618
COMMUNITY ANIMAL TASK FORCEINCORPORATED,205258755,5902 S PARK DR,LORAIN,OH,44053-1834
NGSPA REGION FIVE CHAMPIONSHIP INC,205275346,2208 MOTEL RD,HIGHLAND,IL,62249-3822
FRIENDS OF CRANE MEADOWS NATIONALWILDLIFE REFUGE INC,205284461,7408 IMPERIAL RD,ROYALTON,MN,56373-3940
FRIENDS OF THE JEANETTE HUNT ANIMALSHELTER,205293636,PO BOX 233,BLAIR,NE,68008-0233
PURRFECT FRIENDS CAT RESCUE,205305474,909 GRAND CYPRESS CT,CINCINNATI,OH,45245-3334
DOG4U INC,205311280,1232 RED HILL RD,CAMDEN,SC,29020-9764
RABBIT SANCTUARY INC,205315478,PO BOX 80036,SIMPSONVILLE,SC,29680-0001
OUR MIMS RETIREMENT HAVEN INC,205381313,2810 MILLERSBURG RUDDLES MILL RD,PARIS,KY,40361-9367
SAFE HAVEN PARROT SANCTUARY INC,205385276,9 S COUNTY ROAD 625 E,MILAN,IN,47031-9130
VIRGINIA STATE ANIMAL RESPONSE TEAMINC,205400080,3801 WESTERRE PKWY STE D,HENRICO,VA,23233-1471
TREETOPS ANIMAL RESCUE,205403519,305 W STATE ST,KENNETT SQUARE,PA,19348-3052
ANIMAL HOPE ALLIANCE INC,205409570,3390 HAPPY HOLLOW RD,BLACKSBURG,VA,24060-8732
RED DOG FARM ANIMAL RESCUE NETWORK,205428178,8653 NC HIGHWAY 65,STOKESDALE,NC,27357-8463
GRACE GREYHOUND RETIREMENT ADOPTION CARE & EDUCATION,205460937,PO BOX 761,BELLEVILLE,MI,48112-0761
FIXIN FERAL FELINES INC,205461632,615 NORMAL RD,DEKALB,IL,60115-2204
HEMINGWAY GROUP,205466675,4583 LAMBETH MILL RD,BENNETT,NC,27208-8202
BLUEGRASS MINIATURE HORSEASSOCIATION INC,205469785,2953 MACKVILLE RD,HARRODSBURG,KY,40330-8156
EQUIHAB FOUNDATION LTD,205510027,76 COLLINS LN,RISING SUN,MD,21911-2446
MIDWEST MINIATURE PINSCHER RESCUE,205518718,945 BARRINGTON RD,GROSSE PT PK,MI,48230-1749
WORKING ANIMALS GIVING SERVICE FORKIDS INC,205520973,112 E CENTER ST,BEREA,OH,44017-2104
WAGS RESCUE & REFERRAL,205592729,PO BOX 1514,SOUTHAMPTON,PA,18966-0835
HOOVES & PAWS RESCUE OF THE HEARTLAND INC,205593093,27821 US HIGHWAY 34,GLENWOOD,IA,51534-6065
KINDRED SPIRITS FERAL CAT PROGRAM INC,205593548,2825 TURNPIKE RD,MONTROSE,PA,18801-9793
PUTNAM PET PALS,205597161,506 E WILLIAMSTOWN RD,OTTAWA,OH,45875-1871
SOUTH DAKOTA WALLEYES UNLIMITED,205601327,PO BOX 9244,RAPID CITY,SD,57709-9244
SONGBIRDS OF NORTHERN INDIANA INC,205608015,304 WATER ST,PLYMOUTH,IN,46563-1752
CATS AROUND TOWN SOCIETY INC,205610111,9 BETHANY FOREST DR,DAGSBORO,DE,19939-9252
CAT HOUSE FELINE SANCTUARY INC,205612621,1544 COUNTY ROAD 995,ASHLAND,OH,44805-9411
DISTINGUISHED DOBERMANS RESCUE,205621761,215 HARSHAVILLE RD,CLINTON,PA,15026-1417
NE OHIO GREYHOUND RESCUE,205643423,905 MECHANICSVILLE RD,GENEVA,OH,44041-9653
SHILOH CHARITABLE TRUST,205665871,562 WILLIAMS ST,DEADWOOD,SD,57732-1007
HEARTLAND SMALL ANIMAL RESCUE INC,205670962,PO BOX 6033,SOUTH BEND,IN,46660-6033
HOMEWARD BOUND RESCUE LEAGUE,205673503,12175 BECKLEY RD,VAN BUREN TWP,MI,48111-1704
CENTRAL ILLINOIS SHELTIE RESCUE,205675546,21135 E 1750 NORTH RD,TOWANDA,IL,61776-9582
DOG GROUNDS,205677403,25 GREENWAY GABLES,MINNEAPOLIS,MN,55403-2145
AWESOME SPIRIT OF WILDLIFE,205735195,320 BOOK RD,SLIPPERY ROCK,PA,16057-4510
HOUND RETIREMENT FUND INC,205799896,4855 BURLEY HILLS DR,CINCINNATI,OH,45243-4009
DOCTOR PAWS INC,205800433,5609 LOVEJOY RD,BYRON,MI,48418-8848
CITY KITTIES,205810637,217 S 49TH ST,PHILADELPHIA,PA,19139-4205
BATTLE MOUNTAIN HUMANE SOCIETY,205814735,27254 WIND CAVE RD,HOT SPRINGS,SD,57747-7530
CAT NURTURING INFORMATION &PLACEMENT,205828639,PO BOX 284,SPRINGFIELD,PA,19064-0284
ALLIES FOR GREYHOUNDS,205829361,PO BOX 63,GRANDVILLE,MI,49468-0063
